n,x,y,val,a1,a2
1,55.893213,37.808597,0,0,0
2,55.648804,37.284513,0,0,0
3,55.886877,37.369584,0.518475179,0.518475179,3.246464307
4,55.816611,37.728788,3.045656803,6.268345274,3.045656803
5,55.874382,37.758755,1.540941618,1.540941618,1.902061502
6,55.846936,37.581274,3.786849093,3.786849093,8.675059723
7,55.811563,37.454893,6.502011128,6.681423352,6.502011128
8,55.878243,37.288215,0.141275063,1.224995806,0.141275063
9,55.845918,37.782402,0.999648911,3.870152081,0.999648911
10,55.816544,37.627955,6.273827887,6.273827887,6.893627739
11,55.839321,37.345421,2.324360217,4.409984902,2.324360217
12,55.763812,37.796218,0.472405187,9.411110066,0.472405187
13,55.744121,37.608835,7.623281764,7.799794607,7.623281764
14,55.814457,37.515762,6.444607195,6.444607195,8.824883034
15,55.699832,37.580799,4.175623647,4.175623647,8.693186588
16,55.659046,37.581718,0.838103343,0.838103343,8.658115875
17,55.704829,37.304186,0.750757512,4.584528393,0.750757512
18,55.839061,37.731136,2.956052846,4.431260715,2.956052846
19,55.778861,37.477055,7.347753414,9.357429555,7.347753414
20,55.690395,37.67849,3.403393492,3.403393492,4.965120095
21,55.709214,37.294728,0.389823005,4.94335315,0.389823005
22,55.824762,37.375301,3.46463544,5.601348559,3.46463544
23,55.767976,37.735201,2.800925043,9.751850382,2.800925043
24,55.69446,37.603621,3.736032634,3.736032634,7.822257501
25,55.734747,37.641799,6.365315484,7.032719744,6.365315484
26,55.84182,37.573537,4.205491614,4.205491614,8.970317735
27,55.859353,37.460779,2.770765397,2.770765397,6.726631609
28,55.695568,37.793249,0.585707635,3.826700326,0.585707635
29,55.765434,37.553105,9.543838402,9.543838402,9.75004007
30,55.741826,37.402392,4.498477343,7.611994648,4.498477343
31,55.667035,37.735158,1.49184359,1.49184359,2.802566001
32,55.698572,37.775544,1.261362682,4.072517788,1.261362682
33,55.716335,37.798913,0.369559078,5.526064916,0.369559078
34,55.803979,37.66069,5.644400516,7.30202243,5.644400516
35,55.665163,37.487525,1.338657742,1.338657742,7.747307684
36,55.820205,37.775901,1.247738912,5.974248084,1.247738912
37,55.675143,37.565437,2.155321613,2.155321613,9.279428489
38,55.828833,37.421521,5.228474825,5.268218437,5.228474825
39,55.666539,37.490355,1.451255887,1.451255887,7.855305638
40,55.683163,37.690142,2.811598591,2.811598591,4.520458552
41,55.66474,37.807579,0.038848734,1.304043632,0.038848734
42,55.760926,37.756782,1.977354775,9.174948549,1.977354775
43,55.78109,37.53041,9.175030379,9.175030379,9.383877394
44,55.691855,37.723821,3.23520657,3.522865361,3.23520657
45,55.726149,37.376089,3.494706955,6.329144999,3.494706955
46,55.790721,37.367146,3.153425787,8.386925195,3.153425787
47,55.796442,37.434501,5.723815266,7.918775495,5.723815266
48,55.7953,37.447262,6.210798269,8.012225409,6.210798269
49,55.811654,37.758247,1.921447707,6.673976818,1.921447707
50,55.725973,37.350316,2.511162333,6.31474291,2.511162333
51,55.727994,37.757886,1.935224124,6.480121436,1.935224124
52,55.765216,37.631918,6.742392441,9.525999452,6.742392441
53,55.817021,37.627219,6.234794954,6.234794954,6.92171484
54,55.696969,37.537445,3.941344222,3.941344222,9.652345807
55,55.659591,37.530988,0.882700719,0.882700719,9.405934926
56,55.827098,37.409093,4.754199708,5.410193569,4.754199708
57,55.657762,37.358355,0.733033563,0.733033563,2.817945215
58,55.801834,37.581047,7.477547881,7.477547881,8.683722457
59,55.766493,37.48531,7.662779249,9.630496422,7.662779249
60,55.886319,37.36457,0.564136345,0.564136345,3.055120935
61,55.715986,37.303839,0.73751536,5.497506229,0.73751536
62,55.872123,37.639277,1.725795695,1.725795695,6.461559597
63,55.871542,37.727039,1.773338952,1.773338952,3.112401829
64,55.889169,37.584176,0.330920711,0.330920711,8.564314118
65,55.678114,37.476917,2.398438683,2.398438683,7.342487082
66,55.659101,37.461927,0.842603996,0.842603996,6.77044138
67,55.801721,37.564941,7.486794676,7.486794676,9.298356752
68,55.817319,37.510821,6.2104096,6.2104096,8.636325475
69,55.852782,37.617145,3.308470637,3.308470637,7.306157028
70,55.722763,37.7429,2.50711718,6.052068459,2.50711718
71,55.784885,37.776615,1.220491372,8.86448535,1.220491372
72,55.862778,37.756732,1.979262866,2.490497486,1.979262866
73,55.667848,37.320508,1.373634761,1.558371418,1.373634761
