№;axov;gas;liquid;toxic_dose;k1;k2;k3;k7_40_first;k7_20_first;k7_0_first;k7_-20_first;k7_-40_first;k7_40_second;k7_20_second;k7_0_second;k7_-20_second;k7_-40_second
1;Acrolein;;0.839;0.2;0;0.013;0.75;0.1;0.2;0.4;1;2.2;0.1;0.2;0.4;1;2.2
2;Ammonia_pressure_storage;0.0008;0.681;15;0.18;0.025;0.04;0;0.3;0.6;1;1.4;0.9;1;1;1;1
3;Ammonia_isothermal_storage;;0.681;15;0.01;0.025;0.04;0;1;1;1;1;0.9;1;1;1;1
4;Acetonitrile;;0.786;21.6;0;0.004;0.028;0.02;0.1;0.3;1;2.6;0.02;0.1;0.3;1;2.6
5;Acetone_cyanohydrin;;0.932;1.9;0;0.002;0.316;0;0;0.3;1;1.5;0;0;0.3;1;1.5
6;Hydrogen_arsenic;0.0035;1.64;0.2;0.17;0.054;0.857;0.3;0.5;0.8;1;1.2;1;1;1;1;1
7;Hydrogen_fluoride;;0.989;4;0;0.028;0.15;0.1;0.2;0.5;1;1;0.1;0.2;0.5;1;1
8;Hydrogen_chloride;0.0016;1.191;2;0.28;0.037;0.3;0.4;0.6;0.8;1;1.2;1;1;1;1;1
9;Hydrogen_bromide;0.0036;1.49;2.4;0.13;0.055;6;0.2;0.5;0.8;1;1.2;1;1;1;1;1
10;Hydrogen_cyanide;;0.687;0.2;0;0.026;3;0;0;0.4;1;1.3;0;0;0.4;1;1.3
11;Dimethylamine;0.002;0.68;1.2;0.06;0.041;0.5;0;0;0;1;2.5;0.1;0.3;0.8;1;1
12;Methylamine;0.0014;0.699;1.2;0.13;0.034;0.5;0;0;0.5;1;2.5;0.3;0.7;1;1;1
13;Methyl_bromide;;1.732;1.2;0.04;0.039;0.5;0;0;0;1;2.3;0.2;0.4;0.9;1;1
14;Methyl_chloride;0.0023;0.983;10.8;0.125;0.044;0.056;0;0.1;0.6;1;1.5;0.5;1;1;1;1
15;Methylacrylate;;0.953;6;0;0.005;0.025;0.1;0.2;0.4;1;3.1;0.1;0.2;0.4;1;3.1
16;Methyl_mercaptan;;0.867;1.7;0.06;0.043;0.353;0;0;0;1;2.4;0.1;0.3;0.8;1;1
17;Acrylic_acid_nitrile;;0.806;0.75;0;0.007;0.8;0.04;0.1;0.4;1;2.4;0.04;0.1;0.4;1;2.4
18;Nitrogen_oxides;;1.491;1.5;0;0.04;0.4;0;0;0.4;1;1;0;0;0.4;1;1
19;Ethylene_oxide;;0.882;2.2;0.05;0.041;0.27;0;0;0;1;3.2;0.1;0.3;0.7;1;1
20;Sulfur_dioxide;0.0029;1.462;1.8;0.11;0.049;0.333;0;0;0.3;1;1.7;0.2;0.5;1;1;1
21;Hydrogen_sulfide;0.0015;0.964;16.1;0.27;0.042;0.036;0.3;0.5;0.8;1;1.2;1;1;1;1;1
22;Carbon_disulfide;;1.263;45;0;0.021;0.013;0.1;0.2;0.4;1;2.1;0.1;0.2;0.4;1;2.1
23;Hydrochloric_acid;;1.198;2;0;0.021;0.3;0;0.1;0.3;1;1.6;0;0.1;0.3;1;1.6
24;Trimethylamine;;0.671;6;0.07;0.047;0.1;0;0;0;1;2.2;0.1;0.4;0.9;1;1
25;Formaldehyde;;0.815;0.6;0.19;0.034;1;0;0;0.5;1;1.5;0.4;1;1;1;1
26;Phosgene;0.0035;1.432;0.6;0.05;0.061;1;0;0;0;1;2.7;0.1;0.3;0.7;1;1
27;Fluorine;0.0017;1.512;0.2;0.95;0.038;3;0.7;0.8;0.9;1;1.1;1;1;1;1;1
28;Phosphorus_trichloride;;1.57;3;0;0.01;0.2;0.1;0.2;0.4;1;2.3;0.1;0.2;0.4;1;2.3
29;Phosphorus_oxychloride;;1.675;0.06;0;0.003;10;0.05;0.1;0.3;1;2.6;0.05;0.1;0.3;1;2.6
30;Chlorine;0.0032;1.553;0.6;0.18;0.052;1;0;0.3;0.6;1;1.4;0.9;1;1;1;1
31;Chloropicrin;;1.658;0.02;0;0.002;30;0.03;0.1;0.3;1;2.9;0.03;0.1;0.3;1;2.9
32;Cyanogen_chloride;0.0021;1.22;0.75;0.04;0.048;0.8;0;0;0;1;3.9;0;0;0.6;1;1
33;Ethyleneimine;;0.838;4.8;0;0.009;0.125;0.05;0.1;0.4;1;2.2;0.05;0.1;0.4;1;2.2
34;Ethylene_sulfide;;1.005;0.1;0;0.013;6;0.05;0.1;0.4;1;2.2;0.05;0.1;0.4;1;2.2
35;Ethyl_mercaptan;;0.839;2.2;0;0.028;0.27;0.1;0.2;0.5;1;1.7;0.1;0.2;0.5;1;1.7
