0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.01;0.05;0.1;0.5;1;3;5;10;20;30;50;70;100;300;500;700;1000;2000;9999999
1;0.38;0.85;1.25;3.16;4.75;9.18;12.53;19.2;29.56;38.13;52.67;65.23;81.91;166;231;288;363;572;572
2;0.26;0.59;0.84;1.92;2.84;5.35;7.2;10.83;16.44;21.02;28.73;35.35;44.09;87.79;121;150;189;295;295
3;0.22;0.48;0.68;1.53;2.17;3.99;5.34;7.96;11.94;15.18;20.59;25.21;31.3;61.47;84.5;104;130;202;202
4;0.19;0.42;0.59;1.33;1.88;3.28;4.36;6.46;9.62;12.18;16.43;20.05;24.8;48.18;65.92;81.17;101;157;157
5;0.17;0.38;0.53;1.19;1.68;2.91;3.75;5.53;8.19;10.33;13.88;16.89;20.82;40.11;54.67;67.15;83.6;129;129
6;0.15;0.34;0.48;1.09;1.53;2.66;3.43;4.88;7.2;9.06;12.14;14.79;18.13;34.67;47.09;56.72;71.7;110;110
7;0.14;0.32;0.45;1;1.42;2.46;3.17;4.49;6.48;8.14;10.87;13.17;16.17;30.73;41.63;50.93;63.16;96.3;96.3
8;0.13;0.3;0.42;0.94;1.33;2.3;2.97;4.2;5.92;7.42;9.9;11.98;14.68;27.75;37.49;45.79;56.7;86.2;86.2
9;0.12;0.28;0.4;0.88;1.25;2.17;2.8;3.96;5.6;6.86;9.12;11.03;13.5;25.39;34.24;41.76;51.6;78.3;78.3
10;0.12;0.26;0.38;0.84;1.19;2.06;2.66;3.76;5.31;6.5;8.5;10.23;12.54;23.49;31.61;38.5;47.53;71.9;71.9
11;0.11;0.25;0.36;0.8;1.13;1.96;2.53;3.58;5.06;6.2;8.01;9.61;11.74;21.91;29.44;35.81;44.15;66.62;66.62
12;0.11;0.24;0.34;0.76;1.08;1.88;2.42;3.43;4.85;5.94;7.67;9.07;11.06;20.58;27.61;35.55;41.3;62.2;62.2
13;0.1;0.23;0.33;0.74;1.04;1.8;2.37;3.29;4.66;5.7;7.37;8.72;10.48;19.45;26.04;31.62;38.9;58.44;58.44
14;0.1;0.22;0.32;0.71;1;1.74;2.24;3.17;4.49;5.5;7.1;8.4;10.04;18.46;24.69;29.95;36.81;55.2;55.2
15;0.1;0.22;0.31;0.69;0.97;1.68;2.17;3.07;4.34;5.31;6.86;8.11;9.7;17.6;23.5;28.48;34.98;52.37;52.37
99999;0.1;0.22;0.31;0.69;0.97;1.68;2.17;3.07;4.34;5.31;6.86;8.11;9.7;17.6;23.5;28.48;34.98;52.37;52.37
